content,sentiment
"['lelet', 'buka', 'isolirnya', 'jika', 'terlambat', 'bayar', 'atau', 'bayar', 'pa', 'tanggal', 'statu', 'myindihom', 'tagihan', 'sdh', 'terbayar', 'atau', 'tunggakan', 'tapi', 'dibawahnya', 'tertera', 'segera', 'lunasi', 'tunggakan', 'anda', 'sehat', 'bagaimana', 'nih', 'sistem', 'informasinya', 'apa', 'masih', 'pake', 'cek', 'manual', 'pake', 'excel', 'perusahaan', 'digit', 'yg', 'katanya', 'terbesar', 'masih', 'unreal', 'time']",-1
"['aplikasi', 'my', 'indihom', 'memang', 'mantap', 'josss', 'bisa', 'memudahkan', 'dalam', 'pembayaran', 'tiap', 'bulannya', 'dan', 'ada', 'beberapa', 'promo', 'yg', 'dapat', 'menguntungkan', 'pelanggan', 'suks', 'selalu', 'indihom']",1
"['setelah', 'updat', 'malah', 'tdk', 'bisa', 'kebuka', 'jaringan', 'sere', 'lag', 'padhl', 'pembayaran', 'tdk', 'pernah', 'ngaret', 'alia', 'sll', 'tpt', 'wkt']",-1
"['sangat', 'membantu', 'dalam', 'hal', 'pekerjaan', 'apalagi', 'yang', 'menggunakan', 'sosial', 'media', 'atau', 'media', 'onlin', 'lain', 'nya', 'jaringan', 'juga', 'lumayan', 'lancar']",1
"['katanya', 'password', 'buat', 'login', 'kadaluarsa', 'suruh', 'ganti', 'tapi', 'pa', 'diganti', 'malah', 'kesalahan', 'jaringan', 'teruss', 'maunya', 'gimana', 'sihhh']",-1
"['versi', 'baru', 'kurang', 'bagu', 'masih', 'lebih', 'bagu', 'versi', 'lama', 'utk', 'versi', 'lama', 'sdh', 'lengkap', 'dan', 'versi', 'baru', 'sya', 'yakin', 'pengguna', 'lbh', 'bnyk', 'suka', 'yg', 'lama', 'maaf', 'kami', 'selama', 'ini', 'gk', 'pernah', 'dpt', 'poin', 'gmn', 'cara', 'dpatinnya', 'utk', 'pembayaran', 'tdk', 'pernah', 'terlambat']",-1
"['berbulan', 'bulan', 'ga', 'bisa', 'login', 'di', 'akun', 'sendiri', 'sudah', 'diupgrad', 'berkali', 'kali', 'dahlah', 'uninstal', 'aja']",-1
"['sdh', 'bisa', 'login', 'dan', 'semoga', 'makin', 'ringan', 'lagi', 'utk', 'aplikasinya']",1
"['selamat', 'malam', 'saya', 'mau', 'tanya', 'kenapa', 'aplikasinya', 'punya', 'indihom', 'tidak', 'bisa', 'di', 'buka', 'di', 'aks', 'mohon', 'bantuannya', 'segera', 'lah']",-1
"['buka', 'aplikasinya', 'aja', 'lemot', 'pant', 'aja', 'jaringan', 'internet', 'telkom', 'super', 'lemot', 'juga', 'mau', 'bergenti', 'langganan', 'banget', 'sumpah', 'gak', 'betah']",-1
"['mahal', 'doang', 'bayar', 'tagihan', 'nya', 'perbaikan', 'nya', 'kurang', 'cepat', 'internet', 'nya', 'lemot', 'jasa', 'lah']",-1
"['aplikasi', 'nya', 'payah', 'sere', 'error', 'sere', 'log', 'out', 'sendiri', 'sere', 'gak', 'bisa', 'masuk', 'mau', 'ngecek', 'tagihan', 'aja', 'susah', 'nya', 'minta', 'ampun', 'udah', 'tahun', 'pake', 'myindihom', 'aplikasi', 'nya', 'gak', 'ada', 'perkembangan']",-1
"['apaan', 'di', 'minta', 'gnti', 'passwrd', 'krna', 'kadaluarsa', 'eh', 'stelah', 'gnti', 'malah', 'perbaikian', 'layanan', 'gajelass', 'banget', 'ni', 'aplikasi', 'blm', 'lagi', 'klw', 'dh', 'gngguan', 'jelek', 'amat', 'pelayanan', 'ny']",-1
"['ini', 'gimana', 'sih', 'tiap', 'bulan', 'masak', 'minta', 'masuk', 'lagi', 'log', 'in', 'lagi', 'udah', 'gitu', 'katanya', 'password', 'kadaluarsa', 'dan', 'haru', 'verìfikasi', 'no', 'hp', 'udah', 'dikirim', 'no', 'otp', 'di', 'hp', 'tulisannya', 'jaringan', 'eror', 'lah', 'kode', 'otp', 'kadaluarsa', 'lah', 'gitu', 'teru', 'samp', 'gak', 'guna']",-1
"['mau', 'login', 'masa', 'gabisa', 'jaringan', 'jelek', 'katanya', 'padah', 'pake', 'wifi', 'indihom', 'itu', 'sendiri', 'anehh']",-1
"['aplikasi', 'sangat', 'membatu', 'dan', 'tdk', 'ribet', 'untuk', 'promo', 'kalau', 'blh', 'di', 'daerah', 'saya', 'donk', 'di', 'masukan']",1
"['coba', 'login', 'tpi', 'ga', 'bisa', 'selalu', 'infonya', 'kalau', 'aplikasi', 'sedang', 'dalam', 'peningkatan', 'padah', 'mau', 'cek', 'pembayaran', 'dan', 'lain', 'lainnya']",-1
"['sampai', 'saat', 'ini', 'saya', 'belum', 'juga', 'bisa', 'login', 'ke', 'aplikasi', 'myindihom', 'selalu', 'lagi', 'dalam', 'perbaikan']",-1
"['tangan', 'sy', 'yg', 'salah', 'tekan', 'atau', 'apk', 'nya', 'yg', 'buruk', 'berkali', 'kali', 'input', 'kode', 'yg', 'diminta', 'tdk', 'suks', 'juga', 'masuk', 'rugi', 'pulsa', 'sm']",1
"['parah', 'aplikasinya', 'setelah', 'di', 'updat', 'malah', 'ga', 'bisa', 'liat', 'penggunaannya']",-1
"['aplikasi', 'buruk', 'setiap', 'mendekati', 'tggl', 'tggl', 'pembayaran', 'indihom', 'saya', 'selalu', 'ada', 'perbaikan', 'aplikasi', 'dan', 'itu', 'berulang', 'kali', 'trjadi', 'tapi', 'jika', 'saya', 'buka', 'di', 'awal', 'bulan', 'atau', 'tggl', 'yg', 'masih', 'jauh', 'untuk', 'pembayaran', 'indihom', 'saya', 'aplikasinya', 'saja', 'tru', 'untuk', 'apa', 'poin', 'my', 'indihom', 'saya', 'tahun', 'lalu', 'masih', 'bisa', 'saya', 'tukarkan', 'dengan', 'potongan', 'tagihan', 'indihom', 'tapi', 'kalau', 'aplikasinya', 'selalu', 'mainten', 'bagaimana', 'saya', 'bisa', 'menggunakan', 'poin', 'saya', 'sorri', 'bintang']",-1
"['aturan', 'singl', 'login', 'menyusahkan', 'hadeh', 'ngga', 'usah', 'pak', 'bahkan', 'gmail', 'aja', 'ngga', 'seperti', 'itu', 'jangan', 'menyulitkan', 'masyarakat', 'byk', 'org', 'yg', 'instal', 'lebih', 'dari', 'devic', 'jadi', 'mala', 'kalau', 'tiap', 'login', 'kudu', 'masukin', 'password', 'lagi', 'hanya', 'buat', 'cek', 'kuota', 'macam', 'aplikasi', 'bank', 'yg', 'isinya', 'duit', 'aja', 'lebay', 'maaf', 'kritik', 'ini', 'demi', 'kemajuan', 'develop', 'indihom', 'login', 'aja', 'tambah', 'susah', 'bgt', 'sih', 'skrg', 'password', 'kadaluarsa', 'lebay', 'bgt', 'email', 'saya', 'puluhan', 'tahun', 'ngga', 'pernah', 'kadaluarsa']",-1
"['rusak', 'truss', 'app', 'mau', 'bayar', 'tagugan', 'app', 'gk', 'bisa', 'di', 'buka', 'minta', 'ganti', 'sandi', 'semengra', 'prose', 'ehhhh', 'sedang', 'peningkatan', 'layanan', 'app', 'gak', 'matang', 'sekali', 'off', 'line', 'aja']",-1
"['ribet', 'dan', 'lemot', 'kalau', 'bukan', 'app', 'terbaru', 'tidak', 'mau', 'masuk', 'padah', 'banyak', 'bug', 'sana', 'sini', 'teru', 'tiap', 'kali', 'di', 'updat', 'haru', 'login', 'lagi']",-1
"['aplikasi', 'luar', 'biasa', 'memudahkan', 'menjemput', 'hiburan', 'visual', 'yang', 'ga', 'ada', 'duanya', 'makin', 'jaya', 'dan', 'banyak', 'programnya', 'untuk', 'indihom', 'juaraaaa']",1
"['penanganan', 'dan', 'respon', 'setiap', 'ada', 'gangguan', 'selalu', 'cepat', 'dan', 'dapat', 'poin', 'juga']",1
"['aneh', 'banget', 'aplikasi', 'nya', 'selalu', 'ad', 'masalah', 'mana', 'login', 'nya', 'ribet', 'mnta', 'verfikasi', 'segala', 'mcm', 'bnyak', 'tingkah', 'sekali', 'ini', 'indihom', 'kualita', 'sinyal', 'jga', 'mengecewakan', 'andai', 'ada', 'jaringan', 'lain', 'udh', 'ga', 'saya', 'pake', 'ini', 'indihom', 'sangat', 'mengecewakan', 'sekali']",-1
"['nggak', 'bagu', 'aplikasinya', 'stiap', 'mau', 'msuk', 'sllu', 'mhon', 'maaf', 'kami', 'sedang', 'melakukan', 'peningkatan', 'tru', 'kpan', 'jdix', 'teru', 'kpan', 'bisa', 'buka', 'pokox', 'nggak', 'bgu', 'aplikasinya', 'mhon', 'maaf']",-1
"['setiap', 'mau', 'bennerin', 'koneksi', 'wifi', 'pasti', 'lemot', 'tru', 'nggk', 'bisa', 'pdahal', 'ak', 'bayar', 'di', 'ata', 'warga', 'sini', 'tp', 'mau', 'benerin', 'pengaturan', 'sepeerti', 'ganti', 'sandi', 'aja', 'sulit', 'percuma', 'lu', 'bikin', 'aplikasi', 'klo', 'gni']",-1
"['aplikasinya', 'sangat', 'membantu', 'sekali', 'sangat', 'mempermudah', 'pelanggan', 'untuk', 'mengaks', 'kebutuhan', 'internet', 'indihom', 'tv', 'kalau', 'ingin', 'tambah', 'chanel', 'ga', 'ribet', 'langsung', 'bisa', 'kita', 'tambahkan', 'melalui', 'aplikasi', 'myindihom', 'saya', 'sangat', 'pua', 'dan', 'nyaman', 'menggunakan', 'aplikasi', 'myindihom']",1
"['pertama', 'indihom', 'lancar', 'wu', 'wu', 'tapi', 'gk', 'jela', 'sere', 'sendiri', 'sinyal', 'gk', 'stabil']",-1
"['ini', 'saya', 'knp', 'gk', 'bisa', 'masuk', 'aplikasi', 'lagi', 'selalu', 'keterangan', 'nya', 'kami', 'sedang', 'perbaikan']",-1
"['habi', 'updat', 'tidak', 'bisa', 'login', 'lagi', 'konekski', 'bagu', 'tapi', 'suruh', 'periksa', 'jaringan']",-1
"['kalok', 'nggak', 'niat', 'bikin', 'aplikasi', 'mendingan', 'di', 'hapu', 'aja', 'nggak', 'usah', 'kasih', 'aplikasi', 'kalok', 'habi', 'updat', 'malah', 'eror', 'mulu', 'login', 'nggak', 'bisa', 'kesalahan', 'jaringan', 'teru', 'teru', 'gunanya', 'updat', 'apaan', 'kalok', 'nggak', 'memperbaiki', 'sistem', 'malah', 'bikin', 'buruk', 'sistem']",-1
"['woy', 'anjg', 'gak', 'bisa', 'login', 'kesalahan', 'koneksi', 'teru', 'pa', 'login']",-1
"['semakin', 'jela', 'informasi', 'dan', 'kualita', 'layanan', 'nya']",1
"['aplikasi', 'tolol', 'dongo', 'idiot', 'yang', 'buat', 'bocil', 'baru', 'lulu', 'smp', 'masa', 'abi', 'di', 'ganti', 'pasword', 'pa', 'masukin', 'pasword', 'baru', 'malah', 'ga', 'bisa', 'mana', 'bikin', 'pasword', 'nya', 'di', 'atur', 'lagi', 'haru', 'uruf']",-1
"['sebagai', 'pelanggan', 'saya', 'sangat', 'pua', 'dengan', 'aplikasi', 'ini', 'karena', 'sangat', 'membantu', 'untuk', 'cek', 'penggunaan', 'internetnya', 'kemudian', 'berbagai', 'macam', 'layanan', 'dan', 'promo', 'diskon', 'terbaru', 'ada', 'di', 'aplikasi', 'ini', 'seperti', 'tambah', 'langgana', 'aplikasi', 'untuk', 'indihometv', 'saya', 'banyak', 'terbantu', 'dengan', 'aplikasi', 'ini', 'selain', 'itu', 'ada', 'program', 'poin', 'untuk', 'bisa', 'ditukarkan', 'diakhir', 'tahun', 'dengan', 'barang', 'barang', 'atau', 'voucher', 'belanja', 'semoga', 'teru', 'dikembangkan', 'aplikasi', 'ini', 'dengan', 'game', 'yang', 'bisa', 'dimainkan', 'atau', 'lainnya', 'terimakasih']",1
"['ada', 'updat', 'baru', 'bukannya', 'nambah', 'bagu', 'malah', 'ga', 'bisa', 'login', 'rusak', 'aplikasi', 'user', 'bikinnya']",-1
"['sere', 'error', 'peningkatan', 'layanan', 'buat', 'apa', 'ngk', 'ada', 'berubah', 'pun', 'wifi', 'makin', 'hari', 'makin', 'lelet', 'tagihan', 'lama', 'lama', 'naik', 'ngk', 'jl', 'pa', 'di', 'komplin', 'bilang', 'promo', 'ini', 'promo', 'itu']",-1
"['saya', 'jadi', 'pelanggan', 'memang', 'baru', 'tahun', 'lebih', 'tapi', 'tagihan', 'bulanan', 'selalu', 'saya', 'bayar', 'tepat', 'waktu', 'dan', 'tidak', 'pernah', 'telat', 'kecepatan', 'internet', 'bp', 'unlimit', 'tapi', 'jaringan', 'internet', 'sere', 'hilang', 'bagaimana', 'mana', 'ini']",-1
"['aplikasinya', 'bagu', 'tinggal', 'ditingkatkan', 'lagi', 'untuk', 'kompatibel', 'nya', 'saja']",1
"['tiap', 'mau', 'masuk', 'pasti', 'ga', 'bisa', 'dan', 'ada', 'keterangan', 'mohon', 'maaf', 'kami', 'sedang', 'melakukan', 'perbaikan', 'layanan', 'teru', 'gunanya', 'aplikasinya', 'buat', 'apa']",-1
"['tidak', 'bisa', 'masuk', 'dengan', 'alasan', 'peningkatan', 'pelayanan', 'yang', 'sudah', 'hari', 'belum', 'belum', 'juga', 'di', 'tingkatkan']",-1
"['udh', 'brp', 'bln', 'aplikasinya', 'gk', 'bisa', 'dipak', 'keterangannya', 'sllu', 'dlm', 'peningkatan', 'layanan']",-1
"['aplikasinya', 'ada', 'tapi', 'pelayanan', 'tidak', 'ada', 'gak', 'bisa', 'di', 'pake', 'dong', 'aplikasinya']",-1
"['aplikasi', 'ter', 'aneh', 'salah', 'masuk', 'pass', 'sekali', 'aja', 'nunggunya', 'haru', 'berjam', 'jam', 'wkwkwkwk']",-1
"['aplikasi', 'sangat', 'membantu', 'dalam', 'memecahkan', 'permasalahan', 'terkait', 'perangkat', 'dan', 'koneksi', 'indihom', 'saya', 'dirumah', 'dimanapun', 'posisi', 'sy', 'berada', 'terima', 'kasih']",1
"['mantap', 'apk', 'ini', 'penangganan', 'gangguan', 'respon', 'cepat', 'costum', 'juga', 'ramah', 'semoga', 'bisa', 'lebih', 'baik', 'lagi', 'kedepan']",1
"['aplikasi', 'ini', 'bagu', 'untuk', 'digunakan', 'karena', 'kita', 'bisa', 'melihat', 'jumlah', 'pembayaran', 'myindihom', 'setiap', 'bulannya', 'dan', 'ada', 'banyak', 'promo', 'diskon', 'di', 'aplikasi']",1
"['wifi', 'nya', 'sere', 'ngelag', 'erorr', 'jaringan', 'gak', 'stabil', 'tolong', 'diperbaiki', 'thnk']",-1
"['udah', 'sebulan', 'lebih', 'tlp', 'saya', 'bermasalah', 'tapi', 'waktu', 'lapor', 'lewat', 'aplikasi', 'tulisannya', 'selalu', 'aplikasi', 'sedang', 'ada', 'kendala']",-1
"['sangat', 'mudah', 'di', 'gunakan', 'fiturnya', 'lengkap']",1
"['mau', 'login', 'susah', 'amat', 'id', 'password', 'saya', 'masih', 'ingat', 'malah', 'dibilang', 'kadaluarsa', 'padah', 'gak', 'pernah', 'ngutak', 'atik', 'aplikasi', 'giliran', 'pa', 'relog', 'verifikasi', 'kode', 'nomor', 'via', 'wa', 'katanya', 'salah', 'padah', 'saya', 'udah', 'bener', 'masukinnya', 'lha', 'wong', 'cuma', 'angka', 'kok', 'masukin', 'dibilang', 'suruh', 'nunggu', 'jam', 'lagi', 'selain', 'masalah', 'itu', 'di', 'berandanya', 'juga', 'sere', 'gak', 'bisa', 'diliat', 'nampilin', 'isinya', 'eeq', 'ini', 'si', 'udah', 'terlalu', 'babi', 'indihomo', 'tu', 'termasuk', 'mahal', 'lho', 'telkomtod', 'cuma', 'urusin', 'aplikasi', 'aja', 'kagak', 'becu', 'bi']",-1
"['aplikasinya', 'gangguan', 'teru', 'tambah', 'mahal', 'sekarang']",-1
"['lebih', 'mempermudah', 'saya', 'untuk', 'menambah', 'kecepatan', 'jaringan', 'dan', 'memb', 'paket']",1
"['aplikasi', 'aneh', 'makin', 'sulit', 'pengaplikasian', 'nya']",-1
"['aplikasi', 'nya', 'keren', 'mudah', 'di', 'pahami', 'tidak', 'puse', 'puse', 'untuk', 'mengontrol', 'wifi', 'dan', 'penggunanya', 'pokok', 'the', 'best', 'untuk', 'indihom', 'semoga', 'konsisten', 'dan', 'maju']",1
"['ketika', 'mau', 'login', 'muncul', 'error', 'interupt', 'saya', 'kira', 'krn', 'aplikasi', 'blm', 'saya', 'prbarui', 'stlh', 'saya', 'prbarui', 'trnyata', 'sama', 'saja', 'sdh', 'hmpir', 'ulan', 'blm', 'bsa', 'login', 'ke', 'aplikasi', 'udh', 'bayar', 'mahal', 'pelayanan', 'mngecewakn', 'jgn', 'cmn', 'bilg', 'maaf', 'tp', 'extra', 'scepatnya', 'dprbaiki', 'pelayanannya']",-1
"['jelek', 'banget', 'mau', 'login', 'pakai', 'kirim', 'kode', 'verifikasi', 'ke', 'nomor', 'lama', 'apabila', 'nomor', 'lama', 'udh', 'gk', 'dipak', 'atau', 'nomor', 'udh', 'hilang', 'teru', 'buat', 'liat', 'kode', 'verifikasi', 'yg', 'dikasih', 'gimana', 'coba', 'dibuat', 'fitur', 'lupa', 'nomor', 'kan', 'jadinya', 'lebih', 'enak', 'buat', 'user']",-1
"['aplikasi', 'sangat', 'bermanfaat', 'gk', 'perlu', 'dtang', 'ke', 'kantor', 'lg', 'pelayanan', 'sangat', 'memuaskan']",1
"['aplikasinya', 'mantap', 'surantap', 'bisa', 'buat', 'liat', 'kuota', 'pemakaian', 'liat', 'tagihan', 'bayar', 'tagihan', 'bisa', 'upgrad', 'speed', 'mandiri', 'setiap', 'bayar', 'tagihan', 'dapat', 'poin', 'dan', 'lain', 'lain']",1
"['pelayanan', 'yang', 'terbaik', 'masalah', 'teknisi', 'cepat', 'di', 'tanggulangi', 'cs', 'yang', 'ramah', 'serta', 'minim', 'gangguan', 'dalam', 'internet']",1
"['lelet', 'lemot', 'jangan', 'pasang', 'nanti', 'nyesel', 'seumur', 'umur', 'sumpah', 'bikin', 'emosi', 'emg', 'pa', 'awal', 'awal', 'lancar', 'sinyal', 'wifinya', 'kejangkau', 'jauh', 'tp', 'klo', 'dah', 'berbulan', 'bulan', 'lelet', 'dan', 'sinyal', 'wifinya', 'mulai', 'melemah', 'rencana', 'kalo', 'udah', 'setahun', 'pemasangan', 'mau', 'dicabut', 'lemot', 'jangan', 'pasang', 'nanti', 'nyesel', 'seumur', 'umur', 'sumpah', 'bikin', 'emosi', 'emg', 'pa', 'awal', 'awal', 'lancar', 'sinyal', 'wifinya', 'kejangkau', 'jauh', 'tp', 'klo', 'dah', 'berbulan', 'bulan', 'lelet', 'dan', 'sinyal', 'wifinya', 'mulai', 'melemah', 'rencana', 'kalo', 'udah', 'setahun', 'pemasangan', 'mau', 'dicabut']",-1
"['baru', 'ikut', 'pemasangan', 'indihom', 'hari', 'ini', 'smoga', 'indihom', 'bagu', 'sinyalnya', 'dan', 'ga', 'ada', 'kendala', 'sama', 'sekali', 'suks', 'jaya', 'teru', 'buat', 'wifi', 'indihom']",1
"['aplikasinya', 'masih', 'banyak', 'bug', 'nya', 'kemudian', 'lampat', 'dalam', 'merespon']",1
"['aplikasi', 'nya', 'sangat', 'membantu', 'untuk', 'segala', 'macam', 'hal', 'mulai', 'dari', 'penawaran', 'yang', 'menarik', 'promo', 'yg', 'sedang', 'ada', 'sampai', 'membantu', 'untuk', 'membuat', 'laporan', 'ketika', 'ada', 'kendala', 'gangguan', 'untuk', 'internet', 'dan', 'tv', 'yg', 'sedang', 'saya', 'gunakan']",1
"['ui', 'aplikasi', 'sudah', 'sangat', 'baik', 'mudah', 'digunakan', 'dan', 'simpel', 'tetapi', 'aplikasi', 'sangat', 'lemot', 'padah', 'menggunakan', 'jaringan', 'yang', 'stabil', 'sebagai', 'pengguna', 'saya', 'berharap', 'updat', 'untuk', 'performa', 'dan', 'stabilita', 'aplikasi']",-1
"['mau', 'ngecek', 'tagihan', 'malah', 'load', 'teru', 'gimana', 'nih', 'untuk', 'saat', 'ini', 'kasih', 'bintang', 'dulu']",-1
"['terkadang', 'klo', 'mau', 'buka', 'aplikasi', 'nya', 'agak', 'lemot', 'ya', 'tru', 'jadi', 'agak', 'susah', 'untuk', 'ngecek', 'pemakaian', 'tapi', 'klo', 'lagi', 'lancar', 'ok', 'lah', 'jadi', 'kita', 'bisa', 'kontrol', 'pemakaian', 'internet', 'd', 'rumah']",1
"['di', 'suruh', 'reinstal', 'sama', 'oper', 'indi', 'homenya', 'kecabut', 'aja', 'dah', 'sukur', 'keamanan', 'app', 'yg', 'atau', 'ini', 'lemah']",1
"['sejauh', 'ini', 'masih', 'provid', 'internet', 'yang', 'pale', 'stabil', 'ditambah', 'kemudahan', 'layanan', 'lainnya', 'add', 'on', 'upgrad', 'layanan', 'menambah', 'kemudahan', 'semoga', 'selalu', 'senantiasa', 'menambah', 'dan', 'meningkatkan', 'layanan', 'dan', 'tambahan', 'program', 'menarik', 'lainnya']",1
"['induhom', 'fast', 'respon', 'pernah', 'kejadian', 'kabel', 'optik', 'putu', 'samp', 'hubungi', 'pihak', 'indihom', 'langsung', 'dateng', 'dan', 'untuk', 'pendaftaran', 'mudah', 'lewat', 'onlin', 'gk', 'perlu', 'keluar', 'rumah']",1
"['susah', 'masuk', 'ke', 'apk', 'my', 'indihom', 'setelah', 'up', 'ke', 'speed', 'bp', 'selalu', 'peningkatan', 'layanan', 'sudah', 'bulan', 'gk', 'bisa', 'masuk', 'padah', 'sudah', 'terdaftar']",-1
"['selesai', 'di', 'updat', 'malah', 'eror', 'tidak', 'bisa', 'login', 'masukin', 'kode', 'verifikasi', 'salah', 'padah', 'sudah', 'sesuai', 'dengan', 'yg', 'dikirim', 'lewat', 'sm', 'wa']",-1
"['aplikasi', 'ini', 'mempermudah', 'dalam', 'mengecek', 'dan', 'membayar', 'tagihan', 'juga', 'banyak', 'tertera', 'dan', 'dapat', 'dipilih', 'sesuai', 'keinginan', 'kita', 'ditambah', 'poin', 'dan', 'juga', 'statu', 'member', 'kita', 'yang', 'banyak', 'memberi', 'keuntungan']",1
"['kami', 'melakukan', 'pemindahan', 'alamat', 'dan', 'kami', 'juga', 'sudah', 'membayar', 'biaya', 'admin', 'tapi', 'hampir', 'minggu', 'masih', 'belum', 'bisa', 'di', 'gunakan', 'buat', 'yang', 'mau', 'pasang', 'indihom', 'silahkan', 'dipikir', 'pikir', 'terlebih', 'dahulu']",-1
"['sangat', 'bagu', 'mudah', 'berkomunikasi', 'sangat', 'efisien', 'dan', 'banyak', 'hadiah']",1
"['mau', 'lapor', 'gangguan', 'malah', 'app', 'nya', 'juga', 'gangguan', 'd']",-1
"['permasalahan', 'sekarang', 'muncul', 'nomor', 'indihom', 'yg', 'bukan', 'punya', 'pemilik', 'tolong', 'd', 'perbaiki', 'dan', 'satu', 'lagi', 'alamat', 'tidak', 'sesuai', 'dengan', 'alamat', 'rumah', 'ini', 'tolonh', 'diperbaiki', 'juga']",-1
"['halo', 'develop', 'tolong', 'di', 'perbaiki', 'bugnya', 'saya', 'tidak', 'bisa', 'login', 'lagi', 'untuk', 'membayar', 'tagihan']",-1
"['layanan', 'bagu', 'dan', 'cepat', 'kami', 'senang', 'menggunakan', 'indihom', 'ga', 'ada', 'masalah', 'dalam', 'jaringan', 'sinyal', 'lancar', 'teru', 'semoga', 'indihom', 'tambah', 'suke', 'banyak', 'pelanggan']",1
"['aplikasi', 'yang', 'simpl', 'dan', 'multifungsi', 'untuk', 'penyedia', 'berbagai', 'macam', 'layanan', 'produk', 'indihom', 'serta', 'tampilan', 'yang', 'menarik']",1
"['aplikasi', 'kelek', 'susah', 'buka', 'alasan', 'tidak', 'ada', 'koneksi', 'jaringan']",-1
"['apakah', 'bisa', 'di', 'set', 'untuk', 'waktu', 'wifinya', 'yang', 'bisa', 'dipakai', 'kapan', 'saja', 'krn', 'kl', 'on', 'teru', 'tidak', 'ada', 'waktu', 'istirahatnya', 'maen', 'hp', 'teru']",-1
"['login', 'nya', 'susah', 'klik', 'addon', 'tambah', 'layanan', 'ga', 'cm', 'lihat', 'tagihan', 'doang', 'ky', 'ga', 'berguna', 'ini', 'app']",-1
"['sangat', 'membantu', 'untuk', 'mendapatkan', 'promo', 'promo', 'terbaik', 'sarankalau', 'bisa', 'untuk', 'pilihan', 'paket', 'disediain', 'untuk', 'paket', 'kecepatan', 'bp', 'untuk', 'rumahan']",1
"['aplikasi', 'yg', 'sangat', 'bagu', 'dan', 'sangat', 'membantu', 'utk', 'semua', 'penggunanya', 'karena', 'dg', 'satu', 'aplikasi', 'saja', 'kita', 'bisa', 'mengaks', 'semua', 'fitur', 'fitur', 'yg', 'kita', 'inginkan', 'pokoknya', 'my', 'indihom', 't', 'o', 'p', 'suks', 'tr', 'my', 'indihom']",1
"['turun', 'bintang', 'kenapa', 'aplikasinya', 'kok', 'aneh', 'ketika', 'login', 'malah', 'di', 'alihkan', 'reset', 'sandi', 'ketika', 'mau', 'input', 'kode', 'malah', 'error', 'periksa', 'koneksi']",-1
"['setelah', 'updat', 'malah', 'logout', 'sendiri', 'mau', 'masuk', 'susah', 'sekali', 'rusak', 'pokoknya']",-1
"['aplikasi', 'jelek', 'saya', 'mau', 'komplain', 'mati', 'seharian', 'kagak', 'bisa', 'klo', 'di', 'daerah', 'saya', 'ada', 'provid', 'selain', 'indihom', 'udh', 'pasti', 'saya', 'ganti']",-1
